;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
6394;Gastropoda Daphnobela;143;2;5;5;Gastropoda;Neogastropoda;55.8;45;Daphnobela
6395;Gastropoda Deaechospira;8423;12;2;14;Gastropoda;Murchisoniina;466;7;Deaechospira
6396;Gastropoda Decorochilina;11992;3;4;7;Gastropoda;Murchisoniina;422.9;11;Decorochilina
6397;Gastropoda Decorospira;3178;3;2;4;Gastropoda;Euomphalina;409.1;13;Decorospira
6398;Gastropoda Delphinuella;14;3;1;3;Gastropoda;Euomphalina;388.1;14;Delphinuella
6399;Gastropoda Delphinula;4553;4;2;5;Gastropoda;NA;23.03;48;Delphinula
6400;Gastropoda Delphinulopsis;7375;12;3;19;Gastropoda;Neritoina;245;27;Delphinulopsis
6401;Gastropoda Denayella;15232;7;2;8;Gastropoda;Murchisoniina;409.1;13;Denayella
6402;Gastropoda Dendropoma;4578;4;1;4;Gastropoda;NA;1.81;49;Dendropoma
6403;Gastropoda Dentarene;745;3;2;4;Gastropoda;NA;23.03;48;Dentarene
6404;Gastropoda Dentimargo;3135;17;3;18;Gastropoda;Neogastropoda;33.9;47;Dentimargo
6405;Gastropoda Dentistyla;0;3;1;3;Gastropoda;Archaeogastropoda;3.6;49;Dentistyla
6406;Gastropoda Depressiscala;7913;3;1;3;Gastropoda;Neotaenioglossa;11.61;49;Depressiscala
6407;Gastropoda Dermomurex;1516;3;3;6;Gastropoda;Neogastropoda;33.9;47;Dermomurex
6408;Gastropoda Deussenia;11392;49;1;49;Gastropoda;Neotaenioglossa;70.6;43;Deussenia
6409;Gastropoda Devonocerithioides;11990;6;1;6;Gastropoda;Murchisoniina;388.1;14;Devonocerithioides
6410;Gastropoda Devonoconica;122;2;1;2;Gastropoda;Euomphalina;388.1;14;Devonoconica
6411;Gastropoda Devonorhineoderma;258;8;2;9;Gastropoda;Murchisoniina;409.1;13;Devonorhineoderma
6412;Gastropoda Devonozyga;0;1;4;2;Gastropoda;Murchisoniina;421.3;11;Devonozyga
6413;Gastropoda Diacria;10920;9;1;9;Gastropoda;Thecosomata;11.61;49;Diacria
6414;Gastropoda Diala;14463;9;2;14;Gastropoda;Sorbeoconcha;23.03;48;Diala
6415;Gastropoda Diaphana;0;1;5;2;Gastropoda;Cephalaspida;55.8;45;Diaphana
6416;Gastropoda Diastoma;17322;14;5;44;Gastropoda;Sorbeoconcha;55.8;45;Diastoma
6417;Gastropoda Diatrypesis;0;1;8;3;Gastropoda;Neotaenioglossa;216.5;29;Diatrypesis
6418;Gastropoda Dicathais;18334;2;1;2;Gastropoda;NA;11.61;49;Dicathais
6419;Gastropoda Dichostasia;15148;7;2;8;Gastropoda;NA;284;23;Dichostasia
6420;Gastropoda Dicosmos;11356;4;3;8;Gastropoda;NA;245;27;Dicosmos
6421;Gastropoda Dicroloma;8106;21;14;33;Gastropoda;NA;167.7;33;Dicroloma
6422;Gastropoda Dictyotomaria;2058;7;15;20;Gastropoda;Murchisoniina;391.9;14;Dictyotomaria
6423;Gastropoda Didianema;1940;9;1;9;Gastropoda;NA;3.6;49;Didianema
6424;Gastropoda Dilatilabrum;0;1;2;2;Gastropoda;NA;28.4;47;Dilatilabrum
6425;Gastropoda Diloma;16687;15;2;19;Gastropoda;NA;23.03;48;Diloma
6426;Gastropoda Diodora;19737;106;8;181;Gastropoda;NA;83.5;42;Diodora
6427;Gastropoda Diozoptyxis;8093;2;4;4;Gastropoda;NA;125;38;Diozoptyxis
6428;Gastropoda Diploconula;83;6;2;9;Gastropoda;Euomphalina;284;23;Diploconula
6429;Gastropoda Diplozone;183;2;1;2;Gastropoda;Murchisoniina;428.2;11;Diplozone
6430;Gastropoda Dircella;65;2;3;3;Gastropoda;Neotaenioglossa;85.8;41;Dircella
6431;Gastropoda Discogonius;0;6;1;6;Gastropoda;NA;245;27;Discogonius
6432;Gastropoda Discohelix;7618;15;23;40;Gastropoda;NA;245;27;Discohelix
6433;Gastropoda Discopsis;0;1;3;2;Gastropoda;Neotaenioglossa;33.9;47;Discopsis
6434;Gastropoda Discordichilus;14488;7;2;9;Gastropoda;Euomphalina;436;10;Discordichilus
6435;Gastropoda Discotectonica;8749;2;4;4;Gastropoda;NA;37.2;46;Discotectonica
6436;Gastropoda Discotectus;0;1;2;2;Gastropoda;Archaeogastropoda;85.8;41;Discotectus
6437;Gastropoda Discotomaria;762;2;2;4;Gastropoda;NA;279.5;23;Discotomaria
6438;Gastropoda Discotropis;947;11;2;19;Gastropoda;Euomphalina;284;23;Discotropis
6439;Gastropoda Dissochilus;2667;2;1;2;Gastropoda;Neotaenioglossa;65.5;44;Dissochilus
6440;Gastropoda Distorsio;19079;43;5;84;Gastropoda;NA;55.8;45;NA
6441;Gastropoda Dizoniopsis;0;2;2;3;Gastropoda;Neotaenioglossa;23.03;48;Dizoniopsis
6442;Gastropoda Dohmella;136;2;1;2;Gastropoda;Euomphalina;388.1;14;Dohmella
6443;Gastropoda Dolabella;20;4;1;4;Gastropoda;Anaspidea;23.03;48;Dolabella
6444;Gastropoda Dolicholatirus;1485;9;7;15;Gastropoda;Neotaenioglossa;70.6;43;Dolicholatirus
6445;Gastropoda Dolicrossea;592;2;1;2;Gastropoda;NA;19;48;Dolicrossea
6446;Gastropoda Doliocassis;37;5;1;5;Gastropoda;NA;40.4;46;Doliocassis
6447;Gastropoda Dolium;6541;5;1;5;Gastropoda;NA;11.61;49;Dolium
6448;Gastropoda Dolostoma;258;2;1;2;Gastropoda;Neogastropoda;11.61;49;Dolostoma
6449;Gastropoda Domerginella;0;2;1;2;Gastropoda;Neogastropoda;55.8;45;Domerginella
6450;Gastropoda Domiporta;0;4;1;4;Gastropoda;Murchisoniina;418.1;12;Domiporta
6451;Gastropoda Donaldiella;16962;11;10;23;Gastropoda;Murchisoniina;479;6;Donaldiella
6452;Gastropoda Donaldina;15955;20;12;43;Gastropoda;NA;388.1;14;Donaldina
